player_id,latest_match,joined_date,retention_days,location,age,total_spending
0001f4cd1d6a46758ac99d9ec08c6107,364,347,17,Asia,25,2992.76
0002b134ae784531a58545a2c8cd9228,48,29,19,Africa,23,298.18
0004909f34fb416e9e159181dc2bf4c4,249,209,40,South America,19,1188.72
0007b666ebe94db7a528988e1f2944d8,204,161,43,Africa,19,785.02
000841868c214033ba6739cb9a28df2e,365,349,16,North America,20,3148.04
000f13e3122c4ed792eca90c5e848355,332,290,42,North America,18,1861.72
000f3d8443e549fbafa4c9afa68c03f5,303,270,33,Europe,16,1952.08
000f78a079554cbf8c372f484819ced1,213,184,29,Asia,21,1263.56
00103bcca20f4ffeb55b192225289e59,357,321,36,Africa,24,1649.12
0012da83447245479b4afa953aa83ec0,133,88,45,South America,17,1022.72
0014427bcb264a989a33ef4124c1db30,213,186,27,Asia,21,1050.72
0014dabe5df649d8aea5bb2df8107985,159,143,16,Europe,21,1626.01
001731f9e14e4e39b7ee6ea1b50ce1f4,128,76,52,South America,22,533.71
001828cb4e434dc0b29152cc53fd1cc1,237,189,48,Oceania,15,763.55
001ac0a36f21461ba778688987a91ace,246,200,46,Oceania,21,1313.36
001c1e752739457c8cfca1b0bdb43775,168,118,50,Europe,21,774.73
001ca71dc40747ec86512ee5fefe39a7,325,295,30,Asia,18,2548.81
0020186fea7c43a89c6930a704b68277,78,38,40,Asia,19,376.43
0021a88b0fc34fc4b5eb92dce092ad63,253,214,39,South America,22,1682.49
0022c67eb02040329cafdcd4a8c12efc,193,148,45,North America,22,845.49
002700cc836b474e966c732426a21777,365,353,12,Asia,22,2652.66
00282cef81064c8fba04767a5abefd3a,247,220,27,South America,14,2463.93
002a3a76068f4ae79aa416de1f7706dc,134,113,21,North America,19,1097.26
002a3ae45490469cb3e8a7e67b6ee63b,206,156,50,North America,24,1302.21
002a4b4641b7459980f11e0d234fcb4d,268,238,30,Europe,19,2423.51
002b39708ee941a69e126a8c747fefaa,299,278,21,Africa,23,2422.62
002c0b85bacd4d5caa5ea96cf6b493e2,276,238,38,South America,19,2046.86
002c2658fbcb4e1693dd44084b29c5c8,263,221,42,South America,14,1178.21
002e1e8a23cf4858a17f8928630e50c8,43,2,41,Oceania,22,275.49
002ef630cf7f44bfb4e5e75e3d52b860,203,174,29,North America,24,1842.38
003040919fc24794a508088652e31073,168,134,34,Oceania,23,1183.17
0030de310e7f4ebfa8fea403b0cff36e,222,183,39,South America,27,1505.33
0033e51527004ef28ded899994def129,247,198,49,Oceania,20,1153.65
00341b78342b4ebb810bfcc730f6d382,186,143,43,Asia,16,467.88
00347bc4b5c94a669f1811338a3b8eb8,81,46,35,Oceania,22,668.76
0034aacc04f14a6d8da4920aa9e6f242,201,144,57,Europe,20,683.01
00370be9e4e5473c834352fb257ce3af,107,52,55,North America,26,522.07
0038e6258f464765a17cfd705d97e84b,147,115,32,Asia,25,957.88
003cf663371b47b98bdfd803ae68fd25,364,349,15,South America,13,2845.39
003da51c0d7142d0a518a382ec341d6f,77,56,21,North America,21,559.69
00414d3eb9cd492da1204f5d3ac083c2,101,57,44,Europe,20,309.16
00419a5fa67c405c861cc481e54d9b8f,282,239,43,Africa,22,1564.76
0048c1a481064418ac75d59666dee36f,133,88,45,Asia,19,698.9
004e4eefd4264734ad5bff432b839fc1,286,237,49,Europe,20,1795.46
004f38cce14f4226885e03b983b5db30,245,224,21,North America,19,2467.64
